Product Handle,Product Title,Product Status,Product Description,Product Thumbnail,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Category 1,Product Category 2,Product Category 3,Product Tag 1,Product Tag 2,Product Tag 3,Product Discountable,Variant Title,Variant Sku,Variant Price KRW,Variant Option 1 Name,Variant Option 1 Value,Variant Manage Inventory,Variant Allow Backorder
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 403 스킨 베이지 1,01999b23-2496-71ef-b004-166b43acefa2,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 404 스킨 베이지 2,01999b23-25c8-7389-bdaa-2bd0828df340,25000,,,true,false
노몬드-전처리제-패드-80매-250ml,노몬드 전처리제 패드 80매 250ml,draft,노몬드 전처리제 패드 80매 250ml,https://almondyoung.com/web/product/medium/202308/ed848c896339ee798de4fb921a89d92e.png,,,,,,,,,신상품,속눈썹,,true,Default,01999b23-07b5-742e-882c-b08967466908,2790,,,true,false
노몬드-크림-리무버-15g,노몬드 크림 리무버 15g,draft,노몬드 크림 리무버 15g,https://almondyoung.com/web/product/medium/202310/c64cacecaaf5db6c6a0ae59418af0093.png,,,,,,,,,신상품,속눈썹,,true,Default,01999b23-03de-738e-9a29-99126d7435cc,1690,,,true,false
노몬드-속눈썹-글루-리무버-15ml,노몬드 속눈썹 글루 리무버 15ml,draft,노몬드 속눈썹 글루 리무버 15ml,https://almondyoung.com/web/product/medium/202508/cabf2daa7e4e60888d67e1f6ebaeb46b.png,,,,,,,,,신상품,속눈썹,,true,Default,01999b22-ffd2-71b9-8a27-6f6f3eec0590,950,,,true,false
미스테이-망고-롯드-lc컬-5종,미스테이 망고 롯드 LC컬 5종,draft,미스테이 망고 롯드 LC컬 5종,https://almondyoung.com/web/product/medium/202504/7a6555661446eb86d4c0cacf8ed16fcb.jpg,,,,,,,,,신상품,속눈썹,,true,Default,01999b22-f993-77ce-8e6f-b168b8cacf9c,57000,,,true,false
미스테이-빅-망고-롯드-lc컬-3종,미스테이 빅 망고 롯드 LC컬 3종,draft,미스테이 빅 망고 롯드 LC컬 3종,https://almondyoung.com/web/product/medium/202504/8ff94a90c80fb43a79391a6fdce9c8c6.jpg,,,,,,,,,신상품,속눈썹,,true,Default,01999b22-f5bc-7062-860a-e19abf450cb5,40000,,,true,false
래쉬클리닉-멜로우-펌제-1제2제-10개입,래쉬클리닉 멜로우 펌제 1제2제 10개입,draft,래쉬클리닉 멜로우 펌제 1제2제 10개입,https://almondyoung.com/web/product/medium/202503/4e7e1f29266bd72280d6129678d5fd4d.jpg,,,,,,,,,신상품,속눈썹,,true,Default,01999b22-f1ec-74dc-a775-2cf686cea59a,16500,,,true,false
미스테이-베리-롯드-물방울-c컬-4종,미스테이 베리 롯드 물방울 C컬 4종,draft,미스테이 베리 롯드 물방울 C컬 4종,https://almondyoung.com/web/product/medium/202505/c9d717261769688221cf353cf518e878.jpg,,,,,,,,,신상품,속눈썹,,true,Default,01999b22-f0b1-7388-8375-297b774ced9a,50000,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,신상품,속눈썹,,true,수지 3R,01999b22-eb07-730e-b46f-eec0405c40d1,4990,,,true,false
